Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,90.0,16451967.0,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,84.0,8696874.0,"album rock,british invasion,classic rock,rock"
Bob Dylan,74ASZWbe4lXaubB36ztrGX,79.0,4233870.0,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter"
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,82.0,5539518.0,"album rock,art rock,classic rock,dance rock,glam rock,permanent wave,protopunk,rock"
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,82.0,9079479.0,"album rock,classic rock,hard rock,rock"
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,80.0,3207625.0,"classic rock,heartland rock,mellow gold,permanent wave,rock,singer-songwriter"
Prince,5a2EaR3hamoenG9rDuVn8j,77.0,4482353.0,"funk,funk rock,minneapolis sound,motown,synth funk"
The Who,67ea9eGLXYMsO2eYQRui3w,75.0,3347686.0,"album rock,art rock,british invasion,classic rock,folk rock,hard rock,mellow gold,rock,roots rock"
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,81.0,4299131.0,"rock-and-roll,rockabilly"
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,76.0,4167268.0,"acid rock,album rock,blues rock,classic rock,hard rock,psychedelic rock,rock"
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,78.0,2620128.0,"baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop"
R.E.M.,4KWTAlx2RvbpseOGMEmROg,77.0,2470824.0,"alternative rock,permanent wave,pop rock,rock"
The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,70.0,1094561.0,"alternative rock,art rock,classic rock,folk rock,melancholia,permanent wave,protopunk,psychedelic rock,rock"
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,78.0,3405410.0,"classic soul,funk,motown,northern soul,quiet storm,soul"
U2,51Blml2LZPmy7TTiAg47vQ,82.0,6864834.0,"irish rock,permanent wave,rock"
The Clash,3RGLhK1IP9jnYFH4BRFJBS,75.0,1851547.0,"classic rock,dance rock,permanent wave,punk,rock"
Nirvana,6olE6TJLqED3rqDCT0FyPh,83.0,10759951.0,"alternative rock,grunge,permanent wave,post-grunge,rock"
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,81.0,5170069.0,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
Neil Young,6v8FB84lnmJs434UJf2Mrm,75.0,1847221.0,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter"
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,80.0,4293377.0,"funk,motown,quiet storm,soul"
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,84.0,12292560.0,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
Elvis Costello,2BGRfQgtzikz1pzAD0kaEn,61.0,331069.0,"art rock,dance rock,folk,folk rock,lilith,mellow gold,new wave pop,permanent wave,power pop,pub rock,rock,roots rock,singer-songwriter"
Bob Marley and The Wailers,2QsynagSdAqZj3U9HgDzjD,85.0,8215922.0,reggae
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,78.0,1651201.0,"classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock"
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,75.0,2252345.0,"classic soul,jazz blues,memphis soul,soul,southern soul"
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,73.0,1276317.0,"art punk,art rock,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo"
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,76.0,2215382.0,"dance rock,madchester,new wave,permanent wave,rock,uk post-punk"
The Byrds,1PCZpxHJz7WAMF8EEq8bfc,64.0,586903.0,"art rock,beatlesque,blues rock,brill building pop,classic rock,cosmic american,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,traditional folk"
Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,64.0,613599.0,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,old school hip hop,rap"
The Doors,22WZ7M8sxp5THdruNY3gXt,78.0,4946882.0,"acid rock,album rock,classic rock,psychedelic rock,rock"
Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,68.0,1807275.0,"bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion,jazz trumpet"
James Brown,7GaxyUddsPok8BuhxN6OUW,70.0,1506595.0,"funk,motown,soul"
The Kinks,1SQRv42e4PjEYfPhS0Tk9E,73.0,1542538.0,"album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock"
Beastie Boys,03r4iKL2g2442PT9n2UKsx,74.0,1628511.0,"alternative rock,east coast hip hop,hip hop,old school hip hop,rap"
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,81.0,3520370.0,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock"
Otis Redding,60df5JBRRPcnSpsIMxxwQm,74.0,1540772.0,"classic soul,funk,memphis soul,soul,soul blues,southern soul"
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,85.0,14863296.0,"pop,r&b,soul"
Beck,4obzFoKoKRHIphyHzJ35G3,83.0,8540530.0,"latin,latin pop,latin viral pop,rap latina,reggaeton"
Sex Pistols,1u7kkVrr14iBvrpYnZILJR,61.0,1081091.0,"punk,rock"
Sly and the Family Stone,5m8H6zSadhu1j9Yi04VLqD,66.0,564788.0,"classic rock,classic soul,disco,folk rock,funk,funk rock,motown,psychedelic rock,rock,soul,southern soul"
Roxy Music,3fhOTtm0LBJ3Ojn4hIljLo,66.0,536413.0,"album rock,art pop,art rock,classic rock,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock"
Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,80.0,3995393.0,"arkansas country,outlaw country"
John Lennon,4x1nvY2FN8jxqAFA0DA02H,74.0,3465231.0,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,psychedelic rock,rock"
Pixies,6zvul52xwTWzilBZl6BUbT,71.0,1553516.0,"alternative rock,art rock,boston rock,modern rock,permanent wave,rock"
Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,71.0,784658.0,"canadian folk,canadian singer-songwriter,folk,folk rock,lilith,mellow gold,pop rock,rock,roots rock,singer-songwriter,traditional folk"
Blur,7MhMgCo0Bl0Kukl93PZbYS,72.0,1792351.0,"alternative rock,britpop,dance rock,madchester,modern rock,permanent wave,pop rock,rock"
Ramones,1co4F2pPNH8JjTutZkmgSm,71.0,1717789.0,"classic rock,early us punk,permanent wave,punk,rock,skate punk"
Madonna,6tbjWDEIzxoDsBA1FuhfPW,80.0,4103325.0,"dance pop,pop"
Lou Reed,42TFhl7WlMRXiNqzSrnzPL,69.0,1130512.0,"art rock,classic rock,dance rock,glam rock,permanent wave,protopunk,psychedelic rock,rock,singer-songwriter"
Sonic Youth,5UqTO8smerMvxHYA5xsXb6,63.0,646063.0,"alternative rock,art rock,blues rock,dance rock,indie rock,lo-fi,modern rock,new wave,noise pop,noise rock,post-punk,punk,rock"
Simon and Garfunkel,70cRZdQywnSFp9pnc2WTCE,77.0,2745715.0,"classic rock,folk,folk rock,melancholia,mellow gold,rock,roots rock"
Joy Division,432R46LaYsJZV2Gmc4jUV5,69.0,1341861.0,"alternative rock,dance rock,madchester,new wave,post-punk,rock,uk post-punk"
Oasis,2DaxqgrOhkeH0fpeiQq2f4,81.0,5238102.0,"beatlesque,britpop,madchester,modern rock,permanent wave,rock"
OutKast,1G9G7WwrXka3Z1r7aIDjI7,78.0,1363669.0,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop"
The Band,4vpDg7Y7fU982Ds30zawDA,69.0,635137.0,"album rock,blues rock,classic canadian rock,classic rock,cosmic american,country rock,folk,folk rock,heartland rock,jam band,mellow gold,psychedelic rock,rock,roots rock,soft rock,swamp rock,traditional folk"
New Order,0yNLKJebCb8Aueb54LYya3,71.0,1197947.0,"art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,70.0,1556499.0,"adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz"
The Police,5NGO30tJxFlKixkPSgXcFE,78.0,3539054.0,"album rock,art rock,classic rock,dance rock,mellow gold,new wave,permanent wave,rock,soft rock"
Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,61.0,463167.0,"art rock,dance rock,dusseldorf electronic,early synthpop,electro,krautrock,new romantic,new wave,proto-techno,synthpop"
Al Green,3dkbV4qihUeMsqN4vBGg93,70.0,1273840.0,"classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul"
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,72.0,1103518.0,"album rock,art rock,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,yacht rock"
John Coltrane,2hGh5VOeeqimQFxqXvfCUf,67.0,1118442.0,"bebop,contemporary post-bop,cool jazz,free jazz,jazz,jazz saxophone"
P J Harvey,3hzSdQu6etcO0H44ZlDsJt,0.0,0.0,
Björk,7w29UYBi0qsHi5RTcv3lmA,66.0,1133313.0,"alternative dance,art pop,dance pop,electronica,electropop,experimental pop,experimental vocal,icelandic experimental,icelandic pop,metropopolis,permanent wave,pop rock,trip hop"
