Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre,Main Genre
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,90.0,16469825.0,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",beatlesque
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,84.0,8704254.0,"album rock,british invasion,classic rock,rock",album rock
Bob Dylan,74ASZWbe4lXaubB36ztrGX,80.0,4238940.0,"album rock,classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",album rock
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,83.0,5546053.0,"album rock,art rock,classic rock,dance rock,glam rock,permanent wave,protopunk,rock",album rock
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,82.0,9087546.0,"album rock,classic rock,hard rock,rock",album rock
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,80.0,3211900.0,"classic rock,heartland rock,mellow gold,permanent wave,rock,singer-songwriter",classic rock
Prince,5a2EaR3hamoenG9rDuVn8j,77.0,4486398.0,"funk,funk rock,minneapolis sound,motown,synth funk",funk
The Who,67ea9eGLXYMsO2eYQRui3w,75.0,3351392.0,"album rock,art rock,british invasion,classic rock,folk rock,hard rock,mellow gold,rock,roots rock",album rock
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,81.0,4305652.0,"rock-and-roll,rockabilly",rock-and-roll
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,76.0,4171424.0,"acid rock,album rock,blues rock,classic rock,hard rock,psychedelic rock,rock",acid rock
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,78.0,2623467.0,"baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop",baroque pop
R.E.M.,4KWTAlx2RvbpseOGMEmROg,77.0,2473666.0,"alternative rock,permanent wave,pop rock,rock",alternative rock
The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,70.0,1095753.0,"alternative rock,art rock,classic rock,folk rock,melancholia,permanent wave,protopunk,psychedelic rock,rock",alternative rock
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,79.0,3408371.0,"classic soul,funk,motown,northern soul,quiet storm,soul",classic soul
U2,51Blml2LZPmy7TTiAg47vQ,82.0,6873311.0,"irish rock,permanent wave,rock",irish rock
The Clash,3RGLhK1IP9jnYFH4BRFJBS,75.0,1852843.0,"classic rock,dance rock,permanent wave,punk,rock",classic rock
Nirvana,6olE6TJLqED3rqDCT0FyPh,83.0,10767651.0,"alternative rock,grunge,permanent wave,post-grunge,rock",alternative rock
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,81.0,5174215.0,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",alternative rock
Neil Young,6v8FB84lnmJs434UJf2Mrm,76.0,1849797.0,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",album rock
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,81.0,4296868.0,"funk,motown,quiet storm,soul",funk
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,84.0,12305179.0,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",album rock
Elvis Costello,2BGRfQgtzikz1pzAD0kaEn,61.0,331468.0,"art rock,dance rock,folk,folk rock,lilith,mellow gold,new wave pop,permanent wave,power pop,pub rock,rock,roots rock,singer-songwriter",art rock
Bob Marley and The Wailers,2QsynagSdAqZj3U9HgDzjD,85.0,8223299.0,reggae,reggae
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,78.0,1653840.0,"classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",classic rock
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,75.0,2254003.0,"classic soul,jazz blues,memphis soul,soul,southern soul",classic soul
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,73.0,1277868.0,"art punk,art rock,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",art punk
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,76.0,2217650.0,"dance rock,madchester,new wave,permanent wave,rock,uk post-punk",dance rock
The Byrds,1PCZpxHJz7WAMF8EEq8bfc,64.0,587689.0,"art rock,beatlesque,blues rock,brill building pop,classic rock,cosmic american,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,traditional folk",art rock
